Date|Group|Nombre d'attaques
2023-11-29|blackbasta|1
2023-11-29|play|8
2023-11-29|akira|4
2023-11-29|clop|1
2023-11-29|ransomhouse|2
2023-11-29|lockbit3|6
2023-11-29|rhysida|1
2023-11-29|snatch|8
2023-11-29|8base|8
2023-11-28|lockbit3|4
2023-11-28|play|13
2023-11-28|alphv|2
2023-11-28|rhysida|2
2023-11-28|hunters|1
2023-11-28|metaencryptor|1
2023-11-28|akira|1
2023-11-28|cactus|4
2023-11-28|monti|2
2023-11-28|qilin|1
2023-11-28|daixin|2
2023-11-28|bianlian|1
2023-11-28|ransomhouse|2
2023-11-27|qilin|1
2023-11-27|rhysida|2
2023-11-27|lockbit3|2
2023-11-27|monti|2
2023-11-27|alphv|6
2023-11-27|hunters|1
2023-11-27|akira|1
2023-11-27|bianlian|2
2023-11-27|threeam|1
2023-11-27|blacksuit|4
2023-11-26|meow|1
2023-11-26|ransomexx|2
2023-11-26|ragroup|2
2023-11-25|lockbit3|2
2023-11-25|clop|5
2023-11-25|noescape|1
2023-11-25|rhysida|1
2023-11-25|alphv|1
2023-11-24|alphv|7
2023-11-24|lockbit3|6
2023-11-24|rhysida|1
2023-11-24|noescape|1
2023-11-24|donutleaks|2
2023-11-24|threeam|1
2023-11-24|hunters|1
2023-11-24|incransom|5
2023-11-24|meow|8
2023-11-23|lockbit3|6
2023-11-23|incransom|9
2023-11-23|cactus|3
2023-11-23|alphv|3
2023-11-23|akira|2
2023-11-22|play|2
2023-11-22|alphv|4
2023-11-22|akira|4
2023-11-22|medusa|2
2023-11-22|lockbit3|6
2023-11-22|rhysida|1
2023-11-22|threeam|1
2023-11-22|8base|8
2023-11-22|bianlian|3
2023-11-21|alphv|1
2023-11-21|lockbit3|14
2023-11-21|cactus|3
2023-11-21|hunters|1
2023-11-21|bianlian|9
2023-11-21|rhysida|1
2023-11-21|noescape|4
2023-11-20|lockbit3|6
2023-11-20|alphv|4
2023-11-20|blackbasta|5
2023-11-20|knight|3
2023-11-20|rhysida|2
2023-11-20|8base|1
2023-11-19|alphv|6
2023-11-19|ragroup|2
2023-11-19|play|1
2023-11-18|play|1
2023-11-18|threeam|2
2023-11-18|incransom|2
2023-11-18|lockbit3|2
2023-11-18|noescape|2
2023-11-18|medusa|2
2023-11-17|lockbit3|12
2023-11-17|medusa|3
2023-11-17|akira|4
2023-11-17|qilin|3
2023-11-17|noescape|2
2023-11-17|incransom|6
2023-11-17|blacksuit|2
2023-11-17|blackbasta|1
2023-11-17|ragroup|9
2023-11-17|ransomexx|1
2023-11-16|lockbit3|5
2023-11-16|blackbasta|2
2023-11-16|alphv|4
2023-11-16|qilin|1
2023-11-16|ransomexx|1
2023-11-16|medusa|1
2023-11-15|lockbit3|5
2023-11-15|alphv|10
2023-11-15|incransom|4
2023-11-15|lorenz|2
2023-11-15|hunters|1
2023-11-15|8base|10
2023-11-15|play|24
2023-11-14|alphv|10
2023-11-14|blackbasta|10
2023-11-14|cuba|2
2023-11-14|noescape|6
2023-11-14|ransomhouse|1
2023-11-13|ransomhouse|1
2023-11-13|blackbasta|1
2023-11-13|lockbit3|6
2023-11-13|alphv|4
2023-11-13|cuba|2
2023-11-13|hunters|11
2023-11-13|medusa|2
2023-11-13|bianlian|4
2023-11-13|noescape|4
2023-11-12|lockbit3|20
2023-11-12|alphv|2
2023-11-11|lockbit3|16
2023-11-11|noescape|2
2023-11-11|rhysida|2
2023-11-11|abyss|4
2023-11-11|alphv|2
2023-11-10|lockbit3|7
2023-11-10|donutleaks|2
2023-11-10|blackbasta|3
2023-11-10|alphv|2
2023-11-10|rhysida|2
2023-11-09|noescape|6
2023-11-09|alphv|2
2023-11-09|monti|4
2023-11-09|akira|10
2023-11-09|lockbit3|4
2023-11-09|lorenz|4
2023-11-09|play|11
2023-11-08|play|9
2023-11-08|lockbit3|10
2023-11-08|blackbasta|2
2023-11-08|noescape|6
2023-11-08|akira|2
2023-11-08|alphv|3
2023-11-08|ciphbit|2
2023-11-07|alphv|5
2023-11-07|rhysida|2
2023-11-07|lorenz|2
2023-11-07|everest|2
2023-11-07|blackbasta|12
2023-11-07|akira|4
2023-11-07|medusa|2
2023-11-07|lockbit3|2
2023-11-07|cuba|4
2023-11-07|ragroup|4
2023-11-06|blackbasta|1
2023-11-06|lockbit3|10
2023-11-06|incransom|2
2023-11-06|rhysida|2
2023-11-06|cactus|6
2023-11-06|alphv|4
2023-11-05|alphv|6
2023-11-05|medusa|10
2023-11-05|abyss|2
2023-11-05|qilin|4
2023-11-05|rhysida|2
2023-11-05|lockbit3|32
2023-11-04|lockbit3|4
2023-11-03|play|2
2023-11-03|ciphbit|2
2023-11-03|lockbit3|13
2023-11-03|incransom|2
2023-11-03|noescape|4
2023-11-03|alphv|2
2023-11-02|play|14
2023-11-02|lockbit3|13
2023-11-02|alphv|6
2023-11-02|blackbasta|2
2023-11-02|rhysida|2
2023-11-02|8base|2
2023-11-02|noescape|4
2023-11-02|snatch|1
2023-11-02|daixin|2
2023-11-01|lockbit3|11
2023-11-01|blacksuit|2
2023-11-01|snatch|1
2023-11-01|medusa|3
2023-11-01|alphv|6
2023-11-01|knight|13
2023-11-01|metaencryptor|2
2023-11-01|blackbasta|14
2023-11-01|8base|10
2023-11-01|noescape|2
2023-10-31|knight|10
2023-10-31|incransom|2
2023-10-31|play|2
2023-10-31|akira|2
2023-10-31|bianlian|6
2023-10-31|lockbit3|10
2023-10-31|medusa|2
2023-10-31|noescape|14
2023-10-31|8base|2
2023-10-30|play|2
2023-10-30|lockbit3|14
2023-10-30|akira|2
2023-10-30|ransomed|1
2023-10-30|medusa|2
2023-10-30|ransomedvc|1
2023-10-30|incransom|1
2023-10-29|incransom|1
2023-10-29|alphv|2
2023-10-29|8base|1
2023-10-28|play|24
2023-10-28|bianlian|2
2023-10-28|8base|1
2023-10-28|alphv|3
2023-10-27|lockbit3|4
2023-10-27|incransom|2
2023-10-27|ransomexx|2
2023-10-27|alphv|4
2023-10-27|akira|2
2023-10-27|blackbasta|3
2023-10-27|8base|4
2023-10-26|threeam|4
2023-10-26|play|2
2023-10-26|lockbit3|4
2023-10-26|qilin|2
2023-10-26|abyss|2
2023-10-26|mallox|2
2023-10-25|blackbasta|2
2023-10-25|snatch|4
2023-10-25|incransom|2
2023-10-25|8base|8
2023-10-25|lorenz|2
2023-10-25|qilin|3
2023-10-25|alphv|2
2023-10-24|lockbit3|17
2023-10-24|noescape|4
2023-10-24|akira|2
2023-10-24|alphv|4
2023-10-24|8base|4
2023-10-23|alphv|4
2023-10-23|cuba|2
2023-10-23|monti|2
2023-10-23|noescape|17
2023-10-23|blackbasta|1
2023-10-23|medusa|9
2023-10-23|medusalocker|2
2023-10-23|ransomblog_noname|1
2023-10-23|lockbit3|4
2023-10-22|ransomed|1
2023-10-22|ransomedvc|1
2023-10-22|hunters|1
2023-10-22|8base|8
2023-10-21|ransomhouse|2
2023-10-21|lockbit3|2
2023-10-21|blackbasta|3
